,Player,2019/20,2019/20(*)
188,Richaun Holmes,"$4,767,000","$4,767,000"
188,Ed Davis,"$4,767,000","$4,767,000"
198,Collin Sexton,"$4,764,960","$4,764,960"
199,Rui Hachimura,"$4,469,160","$4,469,160"
200,Kevon Looney,"$4,464,286","$4,464,286"
201,Dennis Smith,"$4,463,640","$4,463,640"
202,Jamal Murray,"$4,444,746","$4,444,746"
203,Kevin Knox,"$4,380,120","$4,380,120"
204,Cam Reddish,"$4,245,720","$4,245,720"
205,Zach Collins,"$4,240,200","$4,240,200"
206,Mikal Bridges,"$4,161,000","$4,161,000"
207,Alex Len,"$4,160,000","$4,160,000"
208,Nicolo Melli,"$4,102,564","$4,102,564"
209,Cameron Johnson,"$4,033,440","$4,033,440"
210,Malik Monk,"$4,028,400","$4,028,400"
211,Dorian Finney-Smith,"$4,000,000","$4,000,000"
211,JaVale McGee,"$4,000,000","$4,000,000"
211,Reggie Bullock,"$4,000,000","$4,000,000"
211,Patrick McCaw,"$4,000,000","$4,000,000"
215,Shai Gilgeous-Alexander,"$3,952,920","$3,952,920"
216,PJ Washington,"$3,831,840","$3,831,840"
217,Luke Kennard,"$3,827,160","$3,827,160"
218,Miles Bridges,"$3,755,400","$3,755,400"
219,Jakob Poeltl,"$3,754,885","$3,754,885"
220,Tyler Herro,"$3,640,200","$3,640,200"
221,Donovan Mitchell,"$3,635,760","$3,635,760"
222,Stanley Johnson,"$3,623,000","$3,623,000"
223,Jake Layman,"$3,581,986","$3,581,986"
224,Thon Maker,"$3,569,643","$3,569,643"
225,Jerome Robinson,"$3,567,720","$3,567,720"
226,Danuel House,"$3,540,000","$3,540,000"
227,Domantas Sabonis,"$3,529,554","$3,529,554"
228,Boban Marjanovic,"$3,500,000","$3,500,000"
228,TJ McConnell,"$3,500,000","$3,500,000"
230,Taurean Prince,"$3,481,985","$3,481,985"
230,Dario Saric,"$3,481,985","$3,481,985"
232,Romeo Langford,"$3,458,400","$3,458,400"
233,Bam Adebayo,"$3,454,080","$3,454,080"
234,Michael Porter,"$3,389,400","$3,389,400"
235,Denzel Valentine,"$3,377,568","$3,377,568"
236,Juan Hernangomez,"$3,321,029","$3,321,029"
237,Sekou Doumbouya,"$3,285,120","$3,285,120"
238,Justin Jackson,"$3,280,920","$3,280,920"
